bhk,propertytype,location,sqft,pricepersqft,totalprice
3,Flat,Bhubaneswar,1625,5652,12100000
2,Flat,Bhubaneswar,1000,10535,6500000
2,Flat,Bhubaneswar,1162,8621,8500000
3,Flat,Bhubaneswar,1150,3100,8500000
3,Flat,Bhubaneswar,1612,5704,13000000
2,Flat,Bhubaneswar,665,7303,2060000
2,Flat,Bhubaneswar,890,4911,6500000
3,Flat,Bhubaneswar,1466,5300,7200000
3,Flat,Bhubaneswar,1300,7500,6800000
3,Flat,Bhubaneswar,1740,5115,9220000
3,Flat,Bhubaneswar,2713,5919,20299999
2,Flat,Bhubaneswar,1085,5033,5550000
2,Flat,Bhubaneswar,1284,5692,7600000
3,Flat,Bhubaneswar,1087,5304,7600000
3,Flat,Bhubaneswar,1473,3579,10900000
2,Flat,Bhubaneswar,807,6103,6550000
2,Flat,Bhubaneswar,900,3949,3400000
2,Flat,Bhubaneswar,1065,3850,6500000
2,Flat,Bhubaneswar,1252,12000,7190000
2,Flat,Bhubaneswar,1420,5251,7000000
2,Flat,Bhubaneswar,951,6364,6200000
3,Flat,Bhubaneswar,1295,8205,6800000
3,Flat,Bhubaneswar,1200,4000,7000000
3,Flat,Bhubaneswar,1883,5671,15400000
2,Flat,Bhubaneswar,900,8000,7100000
3,Flat,Bhubaneswar,1170,4167,11000000
